,Europe,Global,Global_next_regions
1,3.296192897765113e-18,2.280303311844439e-18,1.5751984794939842e-18
2,1.5657900300048671e-18,1.110733059554835e-18,2.205095879983822e-19
3,1.3287722780978674e-18,9.443267404775892e-19,6.283697764629513e-19
4,4.944979961654691e-18,4.7939054716757874e-18,1.6554150370354315e-19
5,1.6542985299039852e-18,1.5499083797231474e-18,9.159743998836062e-21
6,4.124704253307744e-19,2.4221881302412793e-19,2.653258176795111e-21
7,5.414106425311201e-19,1.173842105870299e-19,7.733715727853883e-22
8,2.383060147025489e-19,6.797910358085097e-20,3.684491098338988e-24
9,3.513104510749274e-20,7.522600162343159e-21,1.4898791613997597e-25
10,5.003343365376604e-21,6.472696349271699e-22,7.524283937783178e-26
20,8.432138236803718e-16,4.8494834357261994e-18,5.6006655170497646e-27
30,0.0017327087422929499,2.7959551548057004e-07,4.430762197113154e-27
40,0.9999999999850232,0.9997611327583212,1.4555361251483813e-22
50,1.0,1.0,6.107436036597567e-14
60,1.0,1.0,0.9980265301088754
70,1.0,1.0,1.0
80,1.0,1.0,1.0
90,1.0,1.0,1.0
100,1.0,1.0,0.04039743678297335
