,USA,North_America,Global,Global_next_regions
1,"{'two sided': 0.004572411576827475, 'one sided': 0.0022862057884137374}","{'two sided': 0.8878682108207473, 'one sided': 0.44393410541037365}","{'two sided': 0.06076740448627673, 'one sided': 0.030383702243138366}","{'two sided': 9.838395415622597e-20, 'one sided': 4.919197707811299e-20}"
2,"{'two sided': 0.017204438670677075, 'one sided': 0.008602219335338538}","{'two sided': 0.686134269741181, 'one sided': 0.6569328651294095}","{'two sided': 0.8016641392416145, 'one sided': 0.40083206962080725}","{'two sided': 1.154809949901377e-19, 'one sided': 5.774049749506885e-20}"
3,"{'two sided': 0.05258524155027949, 'one sided': 0.026292620775139747}","{'two sided': 0.30528398074324953, 'one sided': 0.8473580096283753}","{'two sided': 0.46502790805053296, 'one sided': 0.7674860459747335}","{'two sided': 2.0235222054717026e-17, 'one sided': 1.0117611027358513e-17}"
4,"{'two sided': 0.016652684696606405, 'one sided': 0.008326342348303203}","{'two sided': 0.23802761765499839, 'one sided': 0.8809861911725009}","{'two sided': 0.0925737067690129, 'one sided': 0.9537131466154936}","{'two sided': 2.933913679132642e-24, 'one sided': 1.466956839566321e-24}"
5,"{'two sided': 0.04936640644352632, 'one sided': 0.02468320322176316}","{'two sided': 0.048685745295815486, 'one sided': 0.9756571273520922}","{'two sided': 0.0008240553301125076, 'one sided': 0.9995879723349438}","{'two sided': 3.1613284146025645e-19, 'one sided': 1.5806642073012822e-19}"
6,"{'two sided': 0.04594047113873969, 'one sided': 0.022970235569369845}","{'two sided': 0.23814950500226414, 'one sided': 0.8809252474988679}","{'two sided': 0.020265426886896004, 'one sided': 0.989867286556552}","{'two sided': 7.738266196807958e-20, 'one sided': 3.869133098403979e-20}"
7,"{'two sided': 0.01608614787103085, 'one sided': 0.008043073935515425}","{'two sided': 0.05237211270089594, 'one sided': 0.9738139436495521}","{'two sided': 5.1824677076237745e-05, 'one sided': 0.9999740876614619}","{'two sided': 3.994324384435629e-23, 'one sided': 1.9971621922178145e-23}"
8,"{'two sided': 0.04691372205571612, 'one sided': 0.02345686102785806}","{'two sided': 0.1280089028595632, 'one sided': 0.9359955485702184}","{'two sided': 0.001980703128685559, 'one sided': 0.9990096484356572}","{'two sided': 2.27439572737466e-20, 'one sided': 1.13719786368733e-20}"
9,"{'two sided': 0.033604102383295045, 'one sided': 0.016802051191647523}","{'two sided': 0.02304061585525391, 'one sided': 0.9884796920723731}","{'two sided': 1.195350790080465e-06, 'one sided': 0.9999994023246049}","{'two sided': 5.660210383511716e-24, 'one sided': 2.830105191755858e-24}"
10,"{'two sided': 0.00472116376113737, 'one sided': 0.002360581880568685}","{'two sided': 0.023228911355967524, 'one sided': 0.9883855443220163}","{'two sided': 2.431086098007315e-07, 'one sided': 0.9999998784456952}","{'two sided': 1.9860905967414585e-21, 'one sided': 9.930452983707293e-22}"
20,"{'two sided': 0.00013463675877003965, 'one sided': 6.731837938501983e-05}","{'two sided': 0.4842480619898729, 'one sided': 0.7578759690050636}","{'two sided': 0.011575202561840942, 'one sided': 0.9942123987190795}","{'two sided': 1.402057626214334e-21, 'one sided': 7.01028813107167e-22}"
30,"{'two sided': 0.0025975571740819528, 'one sided': 0.0012987785870409764}","{'two sided': 0.17572550862053307, 'one sided': 0.08786275431026654}","{'two sided': 2.1554769514620594e-08, 'one sided': 1.0777384757310297e-08}","{'two sided': 2.8004217701657137e-21, 'one sided': 1.4002108850828569e-21}"
40,"{'two sided': 6.94753797165693e-07, 'one sided': 0.9999996526231014}","{'two sided': 0.02899764858346109, 'one sided': 0.9855011757082695}","{'two sided': 6.76890791672312e-13, 'one sided': 3.38445395836156e-13}","{'two sided': 5.807408950180774e-19, 'one sided': 2.903704475090387e-19}"
50,"{'two sided': 7.642089653252601e-10, 'one sided': 0.9999999996178955}","{'two sided': 0.0004925191371098372, 'one sided': 0.999753740431445}","{'two sided': 2.982210160316547e-10, 'one sided': 1.4911050801582735e-10}","{'two sided': 1.9467037606182138e-06, 'one sided': 9.733518803091069e-07}"
60,"{'two sided': 1.0642024369991054e-09, 'one sided': 0.9999999994678987}","{'two sided': 2.5105466691367583e-06, 'one sided': 0.9999987447266655}","{'two sided': 7.530211512350522e-10, 'one sided': 3.765105756175261e-10}","{'two sided': 0.007539684410216474, 'one sided': 0.9962301577948918}"
70,"{'two sided': 6.221457484326245e-10, 'one sided': 0.9999999996889272}","{'two sided': 6.602801886876261e-08, 'one sided': 0.9999999669859906}","{'two sided': 2.4528086344332346e-09, 'one sided': 1.2264043172166173e-09}","{'two sided': 1.8184787298219492e-17, 'one sided': 1.0}"
80,"{'two sided': 4.24338438696832e-09, 'one sided': 0.9999999978783078}","{'two sided': 1.852454532053228e-10, 'one sided': 0.9999999999073773}","{'two sided': 2.218246864134388e-12, 'one sided': 1.109123432067194e-12}","{'two sided': 3.5934345004321187e-28, 'one sided': 1.0}"
90,"{'two sided': 1.3205407016157462e-09, 'one sided': 0.9999999993397297}","{'two sided': 1.4921464696422865e-10, 'one sided': 0.9999999999253927}","{'two sided': 3.338209983797321e-16, 'one sided': 1.6691049918986605e-16}","{'two sided': 1.0622654729063458e-33, 'one sided': 1.0}"
100,"{'two sided': 0.023334623771625086, 'one sided': 0.9883326881141874}","{'two sided': 1.2692045582541566e-05, 'one sided': 0.9999936539772087}","{'two sided': 2.2321740077929134e-23, 'one sided': 1.1160870038964567e-23}","{'two sided': 7.355886414154998e-29, 'one sided': 1.0}"
