,Asia,Global,Global_next_regions
1,0.04857918173384783,0.025579186171564926,0.1547897558915485
2,0.1376502592415282,0.12623835120293778,0.4764015966292448
3,0.044343710007479595,0.03159221387930037,0.15833197143593142
4,0.04439448770494592,0.017485954418623134,0.27534946843467634
5,0.01992713195841096,0.01728825902116807,0.09412609596025881
6,0.015033605134878664,0.034954328881506576,0.0677723092808374
7,0.007037480203885154,0.1557320391342102,0.04066489320068163
8,0.003614706670646981,0.12195103859196119,0.016508569283927656
9,0.002489149496419195,0.09974195093681049,0.018875575428830175
10,0.0010399464800709753,0.09328570274458693,0.004945598731900724
20,1.0141316756769975e-05,0.22222625969945664,0.00024089856381865252
30,9.428733565569469e-08,0.6949180471828772,2.9195348926226176e-06
40,3.3405007304864455e-08,0.9996031523346367,1.1689993134178141e-05
50,1.3724994817061096e-11,0.9999999999999879,3.4415840830880828e-09
60,0.01718738030053947,0.9999999999999991,0.0006572014923638403
70,0.9997008655763848,1.0,0.095620570326497
80,0.9999999999999994,1.0,0.9971252683639477
90,1.0,1.0,0.06982109093130116
100,1.0,1.0,1.3620643783310303e-23
